Ticker,Market Cap,PE Ratio,Forward P/E,P/S Ratio,P/B Ratio,Dividend Yield (%),Current Ratio,Debt/Equity,Revenue Growth 4Y (%),EPS Growth 4Y (%),Forward EPS Growth (%),EPS,PEG Ratio,ROE (%),ROA (%),ROIC (%),Profit Margin (%),Gross Margin (%),Free Cash Flow Yield (%),EV/EBITDA,Recent 52-Week High,Sector
TUO.V,80845656.0,N/A,N/A,N/A,6.9651737,N/A,48.395,N/A,N/A,N/A,N/A,-0.05,N/A,-33.979,N/A,-18.40219193,N/A,N/A,-0.716440096,-160.855,False,Basic Materials
OCO.V,79061448.0,N/A,N/A,N/A,0.92329544,N/A,0.836,N/A,N/A,N/A,N/A,-0.03,N/A,-4.099,N/A,-4.722012048,N/A,N/A,-4.4802946,N/A,False,Basic Materials
KTN.V,76160504.0,N/A,N/A,N/A,2.1972318,N/A,54.694,N/A,N/A,-9.326511393,N/A,-0.09,N/A,-14.624,-14.54223063,-16.3219426,N/A,N/A,-11.33326599,-14.616,False,Basic Materials
BYN.V,77266584.0,N/A,N/A,N/A,1.25,N/A,1.871,N/A,N/A,-30.8613527,N/A,-0.01,N/A,-1.102,-5.556485534,-7.019052088,N/A,N/A,-1.685831132,-13.622,False,Basic Materials
DEF.V,73507776.0,N/A,N/A,N/A,1.6265062,N/A,2.406,N/A,N/A,0.0,N/A,N/A,N/A,-3.737,-3.645319808,-3.815363926,N/A,N/A,-7.624006408,N/A,False,Basic Materials
HI.V,77318224.0,2.625,N/A,N/A,1.4583334,N/A,14.967,0.04522,N/A,0.0,N/A,0.04,N/A,59.976,55.64033893,43.15410308,N/A,N/A,-20.33838192,-4.43,False,Basic Materials
AE.V,73184648.0,N/A,N/A,N/A,6.962025,N/A,3.923,N/A,N/A,-25.22480267,N/A,-0.07,N/A,N/A,-75.21531012,-107.0213263,N/A,N/A,N/A,-7.705,False,Basic Materials
ALEX.V,73434848.0,N/A,N/A,N/A,5.09434,N/A,1.465,N/A,N/A,23.58160714,N/A,-0.01,N/A,-8.397,-6.95181948,-7.909412651,N/A,N/A,-7.001133954,N/A,False,Basic Materials
SYH.V,73011200.0,N/A,N/A,N/A,2.3121388,N/A,4.381,N/A,N/A,-31.6074013,N/A,-0.02,N/A,-12.312999,-12.53538985,-11.61473732,N/A,N/A,-6.510869959,N/A,False,Basic Materials
SVE.V,72601112.0,N/A,N/A,N/A,1.7532468,N/A,79.522,N/A,N/A,0.0,N/A,N/A,N/A,-6.7930005,-6.702439959,-7.098909068,N/A,N/A,-4.492321381,-32.485,False,Basic Materials
SALT.V,65699040.0,N/A,N/A,N/A,3.080357,N/A,20.314,N/A,N/A,-89.88289221,N/A,-0.03,N/A,-15.362,-14.66905288,-15.44965801,N/A,N/A,-6.684564743,-19.062,False,Basic Materials
SPA.V,64442404.0,N/A,N/A,N/A,0.6496063,N/A,5.986,0.00265,N/A,-18.9207115,N/A,-0.01,N/A,-2.6689999,-2.643580013,-2.692761829,N/A,N/A,-9.18430421,-22.844,False,Basic Materials
HAN.V,67243120.0,N/A,N/A,N/A,9.180327,N/A,4.155,N/A,N/A,0.0,N/A,-0.06,N/A,-73.459,-70.76122246,-61.53194051,N/A,N/A,-7.115859937,-33.003,False,Basic Materials
GQC.V,66157708.0,N/A,-12.75,N/A,7.9687495,N/A,27.33,N/A,N/A,0.0,N/A,-0.01,N/A,-25.167,-24.50575411,-25.62420053,N/A,N/A,-3.484837248,-22.041,True,Basic Materials
NCAU.V,62521804.0,N/A,N/A,N/A,1.2547529,N/A,24.455,N/A,N/A,9.639799639,N/A,-0.02,N/A,-3.937,-3.920955585,-4.00768019,N/A,N/A,N/A,-38.878,False,Basic Materials
GWM.V,62578300.0,N/A,-18.25,N/A,4.294118,N/A,3.108,0.01003,N/A,26.51110799,N/A,-0.05,N/A,-28.404,-30.28377345,-34.43784659,N/A,N/A,-9.873965717,-9.491,True,Basic Materials
NKL.V,63100588.0,N/A,N/A,N/A,0.7751938,N/A,1.021,0.52036,N/A,N/A,N/A,-0.12,N/A,-8.478,-5.028874231,-5.418346921,N/A,N/A,N/A,N/A,False,Basic Materials
GRSL.V,61311704.0,N/A,-19.5,N/A,N/A,N/A,0.064,N/A,N/A,-2.669009608,N/A,-0.09,N/A,N/A,-133.776293,152.4023112,N/A,N/A,-6.335582008,-3.874,False,Basic Materials
HCU.V,60518360.0,N/A,N/A,5.561327,N/A,N/A,2.266,N/A,N/A,N/A,N/A,-0.91,N/A,-419.836,-10.48295547,-28.7675088,N/A,100.0,N/A,26.165,False,Basic Materials
