Ticker,PE Ratio_highlight,Forward P/E_highlight,P/S Ratio_highlight,P/B Ratio_highlight,Dividend Yield (%)_highlight,Current Ratio_highlight,Debt/Equity_highlight,Revenue Growth 4Y (%)_highlight,EPS Growth 4Y (%)_highlight,Forward EPS Growth (%)_highlight,EPS_highlight,PEG Ratio_highlight,ROE (%)_highlight,ROA (%)_highlight,ROIC (%)_highlight,Profit Margin (%)_highlight,Gross Margin (%)_highlight,FCF Yield (%)_highlight,FCF/EV_highlight,EV/EBITDA_highlight
CLS.TO,below,within,below,above,within,within,within,within,above,above,above,below,above,above,above,above,below,above,above,within
LUN.TO,above,within,within,within,within,below,within,above,above,above,above,within,above,above,above,above,above,above,above,within
IAG.TO,within,within,below,above,within,within,within,below,within,above,above,within,within,below,above,below,within,within,within,within
WFG.TO,within,above,below,within,below,within,below,within,within,within,below,within,above,above,above,below,within,above,above,above
CIGI.TO,above,within,below,above,below,within,within,above,below,within,above,below,above,above,above,below,within,below,below,above
GIL.TO,within,within,above,above,below,above,within,within,within,below,above,above,above,above,above,above,within,within,above,above
BBD-A.TO,within,within,within,within,within,below,within,below,within,within,above,within,within,below,above,within,within,within,within,within
BBD-B.TO,within,within,within,within,within,below,within,below,within,within,above,below,within,below,above,within,within,within,within,within
TIH.TO,within,within,within,within,within,above,below,within,above,below,above,above,above,above,above,above,within,within,above,within
BLCO.TO,within,within,below,below,within,below,above,below,below,within,below,within,above,above,above,above,within,above,above,above
ALA.TO,above,above,below,within,below,below,above,within,below,within,above,above,below,below,below,below,below,below,below,above
IGM.TO,within,within,within,within,above,within,below,below,above,above,above,above,above,above,above,above,below,above,above,within
KEY.TO,above,above,within,above,within,within,above,within,above,below,above,above,within,within,within,below,below,within,within,above
EMP-A.TO,within,within,below,within,within,below,above,below,below,below,above,above,above,within,within,below,within,above,above,within
CTC.TO,above,within,below,within,within,within,above,below,below,above,above,within,above,within,within,within,within,above,above,within
QBR-A.TO,below,within,above,above,within,within,above,within,above,above,above,within,above,above,above,above,within,above,above,within
CU.TO,within,within,within,within,above,within,within,below,above,below,within,above,within,within,within,above,above,above,above,within
CTC-A.TO,within,within,below,within,above,within,above,below,below,above,above,within,above,within,within,within,within,above,above,within
BIPC.TO,below,within,within,above,within,below,above,above,within,within,above,within,above,above,above,above,above,above,above,within
LUG.TO,within,within,above,above,within,within,below,above,within,above,above,within,above,above,above,above,above,above,above,above
QBR-B.TO,below,within,above,above,within,within,above,within,above,above,above,within,above,above,above,above,within,above,above,within
CAE.TO,within,within,within,below,within,below,within,within,below,below,below,below,below,below,below,below,within,within,below,within
CAR-UN.TO,within,within,above,within,below,below,below,below,within,above,below,below,below,below,below,below,within,above,above,within
EDV.TO,within,below,above,within,above,below,above,within,above,within,below,below,above,above,above,below,above,above,above,within
CS.TO,within,within,above,within,within,below,above,above,within,within,below,within,above,within,above,below,within,within,within,above
ONEX.TO,below,below,above,within,below,above,below,below,below,above,above,within,within,above,within,above,within,below,below,within
MEG.TO,within,within,within,within,below,within,below,above,within,above,above,below,above,above,above,within,within,above,above,within
AC.TO,below,below,below,above,within,below,above,above,within,below,above,below,above,above,above,above,within,above,above,below
DFY.TO,within,above,below,above,below,within,within,above,above,above,above,below,above,above,above,below,within,within,within,within
CPX.TO,below,within,within,within,above,within,within,above,above,below,above,within,above,above,above,above,within,above,above,below
BBU-UN.TO,below,within,below,within,within,below,above,within,within,within,above,within,above,below,below,below,below,below,below,within
PSK.TO,above,above,above,above,within,below,below,above,above,above,within,below,within,above,within,above,above,within,within,within
NVEI.TO,within,below,above,within,within,below,above,above,above,below,below,below,above,above,above,above,above,above,above,above
PKI.TO,within,within,below,within,within,within,above,within,above,below,above,above,within,below,below,below,below,above,above,within
SCR.TO,below,within,within,within,below,below,within,within,within,above,above,within,within,within,above,within,within,above,above,within
BTO.TO,within,below,within,within,above,within,below,below,below,within,below,within,above,above,above,below,above,above,above,below
PRMW.TO,above,above,above,above,below,within,within,below,within,below,below,below,within,above,above,above,above,within,within,above
WCP.TO,below,below,within,within,within,below,below,above,within,above,above,above,above,above,above,above,above,above,above,below
CWB.TO,within,above,above,within,within,within,within,within,within,below,above,above,within,below,below,above,within,within,within,within
NXE.TO,above,within,within,above,within,within,within,within,within,within,below,within,within,above,within,within,within,below,below,within
FTT.TO,below,below,below,within,above,within,above,above,above,above,above,within,above,above,above,within,within,above,above,below
REI-UN.TO,above,below,within,below,within,below,within,below,within,above,below,within,below,below,below,below,within,below,below,within
NPI.TO,above,within,within,within,above,within,above,below,within,above,below,within,below,below,below,below,above,above,above,within
ACO-X.TO,within,within,below,within,within,above,within,below,above,below,above,above,within,below,within,within,above,above,above,within
OR.TO,within,above,above,above,below,above,below,below,within,within,below,within,above,above,above,below,above,above,above,above
VRN.TO,within,within,within,below,within,below,within,within,within,above,below,above,below,below,below,below,above,above,above,below
ACO-Y.TO,within,within,below,within,within,above,within,below,above,below,above,within,within,below,within,within,above,above,above,within
AQN.TO,above,within,within,below,above,within,within,above,below,within,below,within,below,below,below,below,within,below,below,within
